site,Day,s.M1,s.M2,s.M3,s.M4,s.M5,s.M6,s.M7,s.M8,s.M9,s.M10,s.M11,i.M1,i.M2,i.M3,i.M4,i.M5,i.M6,i.M7,i.M8,i.M9,i.M10,i.M11,d.M1,d.M2,d.M3,d.M4,d.M5,d.M6,d.M7,d.M8,d.M9,d.M10,d.M11,mean.s,mean.i,mean.d
LP,2,2,2,1,2,2,3,1,2,3,0,1,2,2,2,3,2,1,2,2,1,4,2,0,0,1,0,0,0,0,0,0,0,0,1.73,2.09,0.09
LP,3,1,1,1,2,1,3,0,2,0,0,1,3,3,2,3,3,1,3,2,4,4,2,0,0,1,0,0,0,0,0,0,0,0,1.09,2.73,0.09
LP,4,0,1,1,1,1,1,0,1,0,1,0,3,2,2,4,3,3,3,3,3,3,4,1,1,1,0,0,0,0,0,1,1,0,0.64,3,0.45
LP,5,0,1,0,1,1,1,0,1,0,0,0,2,2,3,4,3,2,3,3,3,4,3,2,1,1,0,0,1,0,0,1,1,1,0.45,2.91,0.73
LP,7,0,0,0,1,1,0,0,0,0,0,0,2,3,3,4,3,3,3,4,3,3,3,2,1,1,0,0,1,0,0,1,2,1,0.1,3.1,0.9
LP,10,0,0,0,1,1,0,0,0,0,0,0,2,3,2,4,3,3,1,4,3,3,3,2,1,3,0,0,1,2,0,1,2,1,0.18,2.82,1.18
LP,14,1,1,0,1,0,0,0,1,0,0,0,2,3,2,4,4,3,1,2,2,2,3,2,1,3,0,0,1,2,2,2,3,1,0.36,2.55,1.55
LP,21,0,1,0,0,0,1,0,0,0,0,0,3,2,2,4,5,2,2,3,2,2,2,2,2,3,2,0,2,2,2,2,3,2,0.18,2.64,2
LP,28,0,1,0,0,0,0,0,0,0,0,0,3,1,2,3,3,2,0,4,3,1,2,2,2,3,3,2,3,4,3,2,4,2,0.09,2.18,2.73
NB,0,2,2,3,2,3,3,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2.45,1,0
NB,1,2,1,3,2,2,3,2,3,2,3,1,1,2,1,2,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2.18,1.36,0
NB,2,0,1,2,2,1,1,2,2,2,3,1,3,2,2,2,3,3,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1.55,2.09,0
NB,3,0,0,0,2,1,0,1,1,1,1,1,3,3,3,2,2,4,3,2,2,3,2,0,0,1,0,1,0,0,1,0,0,0,0.73,2.64,0.27
NB,4,0,0,0,1,1,0,1,1,0,0,0,3,3,3,2,2,4,3,1,3,4,3,0,0,1,1,1,0,0,2,0,0,0,0.36,2.82,0.45
NB,5,0,0,0,1,1,0,1,1,0,1,0,3,3,3,2,2,4,3,1,3,4,3,0,0,1,1,1,0,0,2,0,0,0,0.45,2.82,0.45
NB,7,0,0,0,0,1,0,0,2,0,1,0,3,3,3,3,2,4,4,2,3,4,3,0,0,1,1,1,0,0,2,0,0,0,0.36,3.09,0.45
NB,10,0,0,0,0,2,0,0,1,0,0,0,3,3,2,3,2,3,4,3,2,5,3,1,0,2,1,1,1,0,2,1,0,0,0.27,3,0.82
NB,14,0,0,0,0,1,0,0,1,0,0,1,3,4,2,3,3,3,3,2,2,5,3,1,0,2,1,1,1,1,3,1,0,0,0.27,3,1
NB,21,0,0,1,0,0,0,0,1,0,0,1,3,3,2,2,4,2,3,2,2,4,3,1,1,2,2,1,2,1,3,1,1,0,0.27,2.73,1.36
NB,28,0,0,0,0,0,1,0,2,1,0,1,3,2,3,2,4,2,2,1,2,4,2,1,2,2,2,1,2,2,4,1,2,2,0.45,2.45,1.91
WB,0,2,1,2,1,2,1,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.73,1,0
WB,1,1,0,2,1,2,1,3,2,0,0,2,2,2,1,1,1,1,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1.27,1.45,0
WB,2,0,0,1,0,2,1,3,2,0,0,1,3,2,2,2,1,0,1,2,2,2,2,0,0,0,0,0,1,0,0,0,1,0,0.91,1.73,0.18
WB,3,0,0,0,0,1,1,2,2,0,0,1,3,2,3,2,2,0,2,2,2,2,2,0,0,0,0,0,1,0,0,0,1,0,0.64,2,0.18
WB,4,0,0,0,0,1,1,1,2,0,0,0,3,2,3,2,2,0,3,2,2,2,3,0,0,0,0,0,1,0,0,0,1,0,0.45,2.18,0.18
WB,5,0,0,0,0,1,1,0,1,0,0,0,3,2,2,2,2,0,4,2,2,2,3,0,0,1,0,0,1,0,1,0,1,0,0.27,2.18,0.36
WB,7,0,0,1,0,1,1,0,1,0,0,0,3,2,2,2,2,0,2,2,2,2,3,0,0,1,0,0,1,2,1,0,1,0,0.36,2,0.55
WB,10,0,0,1,0,1,0,1,0,1,0,0,3,2,2,2,2,1,2,3,2,2,3,0,0,1,0,0,1,2,1,0,1,0,0.36,2.18,0.55
WB,14,0,1,1,0,2,0,1,0,0,0,0,3,1,2,2,2,1,2,2,3,2,3,0,1,1,0,0,1,2,2,0,1,0,0.45,2.09,0.73
WB,21,0,2,0,0,1,0,0,0,0,0,1,3,1,3,2,3,1,2,2,3,2,3,1,1,1,0,0,1,2,2,0,1,0,0.36,2.27,0.82
WB,28,0,1,0,1,1,0,1,0,1,0,1,2,1,2,2,3,0,2,2,3,0,3,2,2,2,0,0,2,2,2,0,3,0,0.55,1.82,1.36
