researcher,month,day,year,site,quad,shoot.id,length.cm,no.leaves,leaf.length,lesion.pc,lesion.pc.2,leaf.no,tip.broken,no.shoots,sampling.area.m2,shoot.m2,notes
"FRS, TH, CH",july,24,2016,DC,10,h,56.5,3,NA,10,10,3,N,16,0.0625,256,.
"FRS, TH, CH",july,24,2016,DC,10,i,105.5,4,NA,10,10,3,N,16,0.0625,256,.
"FRS, TH, CH",july,24,2016,DC,10,j,39.5,3,NA,0.1,0,3,N,16,0.0625,256,.
"FRS, TH, CH",july,24,2016,DC,11,a,98.5,4,NA,5,5,3,N,31,0.0625,496,.
"FRS, TH, CH",july,24,2016,DC,11,b,86.5,5,NA,0.1,0,3,N,31,0.0625,496,.
"FRS, TH, CH",july,24,2016,DC,11,c,120.5,6,NA,1,1,3,N,31,0.0625,496,.
"FRS, TH, CH",july,24,2016,DC,11,d,106.5,4,NA,1,1,3,N,31,0.0625,496,.
"FRS, TH, CH",july,24,2016,DC,11,e,77,4,NA,5,5,3,N,31,0.0625,496,.
"FRS, TH, CH",july,24,2016,DC,11,f,40,3,NA,10,10,3,N,31,0.0625,496,.
"FRS, TH, CH",july,24,2016,DC,11,g,67.5,4,NA,0.1,0,3,Y,31,0.0625,496,.
"FRS, TH, CH",july,24,2016,DC,11,h,93.5,5,NA,5,5,3,N,31,0.0625,496,.
"FRS, TH, CH",july,24,2016,DC,11,i,58.5,3,NA,40,40,3,N,31,0.0625,496,.
"FRS, TH, CH",july,24,2016,DC,11,j,62,5,NA,1,1,3,N,31,0.0625,496,.
"FRS, TH, CH",july,24,2016,DC,12,a,89,5,NA,0.1,0,3,N,33,0.0625,528,.
"FRS, TH, CH",july,24,2016,DC,12,b,77,4,NA,0.1,0,3,N,33,0.0625,528,.
"FRS, TH, CH",july,24,2016,DC,12,c,68,5,NA,1,1,3,N,33,0.0625,528,.
"FRS, TH, CH",july,24,2016,DC,12,d,63,4,NA,5,5,3,N,33,0.0625,528,.
"FRS, TH, CH",july,24,2016,DC,12,e,58.5,3,NA,1,1,3,Y,33,0.0625,528,.
"FRS, TH, CH",july,24,2016,DC,12,f,94.5,5,NA,0,0,3,N,33,0.0625,528,.
"FRS, TH, CH",july,24,2016,DC,12,g,62.5,5,NA,0.1,0,3,N,33,0.0625,528,.
"FRS, TH, CH",july,24,2016,DC,12,h,80,4,NA,0.1,0,3,N,33,0.0625,528,.
"FRS, TH, CH",july,24,2016,DC,12,i,59.5,5,NA,1,1,3,N,33,0.0625,528,.
"FRS, TH, CH",july,24,2016,DC,12,j,59,4,NA,0.1,0,3,N,33,0.0625,528,.
"FRS, AK",september,19,2016,LP,1,a,55,4,NA,0.1,0,3,N,25,0.0625,400,.
"FRS, AK",september,19,2016,LP,1,b,60,4,NA,3,3,3,N,25,0.0625,400,.
"FRS, AK",september,19,2016,LP,1,c,64,4,NA,0,0,3,N,25,0.0625,400,.
"FRS, AK",september,19,2016,LP,1,d,64.5,4,NA,0,0,3,N,25,0.0625,400,.
"FRS, AK",september,19,2016,LP,1,e,81,4,NA,3,3,3,N,25,0.0625,400,.
"FRS, AK",september,19,2016,LP,1,f,57,4,NA,1,1,3,N,25,0.0625,400,.
"FRS, AK",september,19,2016,LP,1,g,68.5,3,NA,5,5,3,N,25,0.0625,400,.
"FRS, AK",september,19,2016,LP,1,h,75.5,5,NA,1,1,3,N,25,0.0625,400,.
"FRS, AK",september,19,2016,LP,1,i,35.5,4,NA,0,0,3,N,25,0.0625,400,.
"FRS, AK",september,19,2016,LP,1,j,53,3,NA,0.1,0,3,Y,25,0.0625,400,.
"FRS, AK",september,19,2016,LP,2,a,54.5,3,NA,0,0,3,Y,30,0.0625,480,.
"FRS, AK",september,19,2016,LP,2,b,48,3,NA,0,0,3,Y,30,0.0625,480,.
"FRS, AK",september,19,2016,LP,2,c,72,3,NA,5,5,3,N,30,0.0625,480,.
"FRS, AK",september,19,2016,LP,2,d,67,5,NA,1,1,3,N,30,0.0625,480,.
"FRS, AK",september,19,2016,LP,2,e,39,2,NA,0,0,2,N,30,0.0625,480,.
"FRS, AK",september,19,2016,LP,2,f,54,3,NA,5,5,3,N,30,0.0625,480,.
"FRS, AK",september,19,2016,LP,2,g,40.5,4,NA,0,0,3,N,30,0.0625,480,.
"FRS, AK",september,19,2016,LP,2,h,83,4,NA,3,3,3,Y,30,0.0625,480,.
"FRS, AK",september,19,2016,LP,2,i,74,2,NA,0.1,0,2,Y,30,0.0625,480,.
"FRS, AK",september,19,2016,LP,2,j,32,3,NA,0,0,3,Y,30,0.0625,480,.
"FRS, AK",september,19,2016,LP,3,a,41.5,2,NA,0,0,2,N,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,3,b,30.5,3,NA,0,0,3,N,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,3,c,82.5,4,NA,10,10,3,Y,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,3,d,49,3,NA,0.1,0,3,N,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,3,e,50,4,NA,0,0,3,Y,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,3,f,67,4,NA,0.1,0,3,N,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,3,g,80.5,5,NA,0.1,0,3,N,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,3,h,65.5,2,NA,20,20,2,Y,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,3,i,60,3,NA,0.1,0,3,N,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,3,j,67,3,NA,0.1,0,3,N,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,4,a,68.5,3,NA,0.1,0,3,Y,39,0.0625,624,.
"FRS, AK",september,19,2016,LP,4,b,70.5,3,NA,1,1,3,N,39,0.0625,624,.
"FRS, AK",september,19,2016,LP,4,c,71,2,NA,0.1,0,2,N,39,0.0625,624,.
"FRS, AK",september,19,2016,LP,4,d,86,3,NA,0.1,0,3,N,39,0.0625,624,.
"FRS, AK",september,19,2016,LP,4,e,53,3,NA,1,1,3,N,39,0.0625,624,.
"FRS, AK",september,19,2016,LP,4,f,69.5,3,NA,0,0,3,Y,39,0.0625,624,.
"FRS, AK",september,19,2016,LP,4,g,64,2,NA,0.1,0,2,N,39,0.0625,624,.
"FRS, AK",september,19,2016,LP,4,h,96,4,NA,0.1,0,3,N,39,0.0625,624,.
"FRS, AK",september,19,2016,LP,4,i,77,3,NA,3,3,3,N,39,0.0625,624,.
"FRS, AK",september,19,2016,LP,4,j,87,4,NA,3,3,3,N,39,0.0625,624,.
"FRS, AK",september,19,2016,LP,5,a,50,4,NA,0.1,0,2,Y,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,5,b,64,4,NA,1,1,3,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,5,c,94,4,NA,5,5,3,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,5,d,104,4,NA,0.1,0,2,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,5,e,110,4,NA,0.1,0,3,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,5,f,61,4,NA,0.1,0,3,Y,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,5,g,94,4,NA,0.1,0,3,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,5,h,103,4,NA,0.1,0,3,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,5,i,110,3,NA,40,40,3,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,5,j,17,3,NA,0.1,0,3,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,6,a,60.5,3,NA,0,0,3,N,20,0.0625,320,.
"FRS, AK",september,19,2016,LP,6,b,43.5,4,NA,0.1,0,3,N,20,0.0625,320,.
"FRS, AK",september,19,2016,LP,6,c,53.5,3,NA,0.1,0,3,N,20,0.0625,320,.
"FRS, AK",september,19,2016,LP,6,d,73,4,NA,0,0,3,N,20,0.0625,320,.
"FRS, AK",september,19,2016,LP,6,e,60.5,4,NA,0.1,0,3,N,20,0.0625,320,.
"FRS, AK",september,19,2016,LP,6,f,51,4,NA,0.1,0,3,N,20,0.0625,320,.
"FRS, AK",september,19,2016,LP,6,g,70,4,NA,0,0,3,N,20,0.0625,320,.
"FRS, AK",september,19,2016,LP,6,h,83.5,4,NA,1,1,2,N,20,0.0625,320,.
"FRS, AK",september,19,2016,LP,6,i,67.5,3,NA,3,3,3,N,20,0.0625,320,.
"FRS, AK",september,19,2016,LP,6,j,59.5,3,NA,5,5,3,N,20,0.0625,320,.
"FRS, AK",september,19,2016,LP,7,a,58,4,NA,0.1,0,3,N,52,0.0625,832,.
"FRS, AK",september,19,2016,LP,7,b,56,5,NA,0.1,0,3,N,52,0.0625,832,.
"FRS, AK",september,19,2016,LP,7,c,63,4,NA,1,1,3,N,52,0.0625,832,.
"FRS, AK",september,19,2016,LP,7,d,56,5,NA,0.1,0,3,N,52,0.0625,832,.
"FRS, AK",september,19,2016,LP,7,e,61,4,NA,1,1,3,N,52,0.0625,832,.
"FRS, AK",september,19,2016,LP,7,f,66,4,NA,0.1,0,3,N,52,0.0625,832,.
"FRS, AK",september,19,2016,LP,7,g,59,4,NA,0.1,0,3,N,52,0.0625,832,.
"FRS, AK",september,19,2016,LP,7,h,56.5,4,NA,0.1,0,3,N,52,0.0625,832,.
"FRS, AK",september,19,2016,LP,7,i,65.5,4,NA,0.1,0,3,N,52,0.0625,832,.
"FRS, AK",september,19,2016,LP,7,j,54,4,NA,0.1,0,3,N,52,0.0625,832,.
"FRS, AK",september,19,2016,LP,8,a,92,3,NA,0.1,0,3,Y,15,0.0625,240,.
"FRS, AK",september,19,2016,LP,8,b,72,4,NA,0.1,0,3,N,15,0.0625,240,.
"FRS, AK",september,19,2016,LP,8,c,77,4,NA,1,1,3,N,15,0.0625,240,.
"FRS, AK",september,19,2016,LP,8,d,73.5,4,NA,0.1,0,3,N,15,0.0625,240,.
"FRS, AK",september,19,2016,LP,8,e,82,4,NA,0,0,3,N,15,0.0625,240,.
"FRS, AK",september,19,2016,LP,8,f,60.5,3,NA,0,0,3,Y,15,0.0625,240,.
"FRS, AK",september,19,2016,LP,8,g,68.5,4,NA,0.1,0,3,N,15,0.0625,240,.
"FRS, AK",september,19,2016,LP,8,h,90,5,NA,0.1,0,3,N,15,0.0625,240,.
"FRS, AK",september,19,2016,LP,8,i,81.5,4,NA,1,1,3,N,15,0.0625,240,.
"FRS, AK",september,19,2016,LP,8,j,52,4,NA,0.1,0,3,N,15,0.0625,240,.
"FRS, AK",september,19,2016,LP,9,a,62,4,NA,1,1,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,LP,9,b,62.5,3,NA,0,0,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,LP,9,c,58,4,NA,0,0,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,LP,9,d,53,3,NA,0.1,0,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,LP,9,e,58,4,NA,0,0,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,LP,9,f,48.5,3,NA,0,0,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,LP,9,g,79.5,4,NA,3,3,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,LP,9,h,78.5,4,NA,0.1,0,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,LP,9,i,46,4,NA,0.1,0,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,LP,9,j,55,4,NA,0.1,0,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,LP,10,a,88,4,NA,0,0,3,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,10,b,115.5,3,NA,0.1,0,3,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,10,c,110,3,NA,5,5,3,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,10,d,97.5,4,NA,1,1,3,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,10,e,68,4,NA,0.1,0,3,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,10,f,96,4,NA,0.1,0,3,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,10,g,77,3,NA,1,1,3,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,10,h,114.5,5,NA,0.1,0,3,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,10,i,80.5,4,NA,1,1,3,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,10,j,110,4,NA,0.1,0,2,N,27,0.0625,432,.
"FRS, AK",september,19,2016,LP,11,a,65,2,NA,1,1,2,Y,23,0.0625,368,.
"FRS, AK",september,19,2016,LP,11,b,74.5,4,NA,0.1,0,3,N,23,0.0625,368,.
"FRS, AK",september,19,2016,LP,11,c,78,5,NA,0.1,0,3,N,23,0.0625,368,.
"FRS, AK",september,19,2016,LP,11,d,66,4,NA,0.1,0,3,N,23,0.0625,368,.
"FRS, AK",september,19,2016,LP,11,e,66.5,4,NA,1,1,3,N,23,0.0625,368,.
"FRS, AK",september,19,2016,LP,11,f,66,4,NA,0.1,0,3,N,23,0.0625,368,.
"FRS, AK",september,19,2016,LP,11,g,73,5,NA,0.1,0,3,N,23,0.0625,368,.
"FRS, AK",september,19,2016,LP,11,h,66,4,NA,0.1,0,3,N,23,0.0625,368,.
"FRS, AK",september,19,2016,LP,11,i,77,4,NA,0.1,0,3,N,23,0.0625,368,.
"FRS, AK",september,19,2016,LP,11,j,NA,NA,NA,NA,NA,NA,NA,23,0.0625,368,.
"FRS, AK",september,19,2016,LP,12,a,56.5,5,NA,0.1,0,3,N,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,12,b,51.5,4,NA,1,1,3,N,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,12,c,60,5,NA,0.1,0,3,N,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,12,d,38,3,NA,0,0,3,N,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,12,e,38.5,5,NA,1,1,3,N,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,12,f,56.3,4,NA,0.1,0,3,N,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,12,g,40,4,NA,0.1,0,3,N,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,12,h,46.5,4,NA,0,0,3,N,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,12,i,22,4,NA,0,0,3,N,24,0.0625,384,.
"FRS, AK",september,19,2016,LP,12,j,45,5,NA,0.1,0,3,N,24,0.0625,384,.
"FRS, AK",september,19,2016,NB,1,a,84.5,3,NA,1,1,3,N,40,0.0625,640,.
"FRS, AK",september,19,2016,NB,1,b,67.5,3,NA,1,1,3,N,40,0.0625,640,.
"FRS, AK",september,19,2016,NB,1,c,92.5,4,NA,0.1,0,3,Y,40,0.0625,640,.
"FRS, AK",september,19,2016,NB,1,d,43.5,3,NA,50,50,3,N,40,0.0625,640,.
"FRS, AK",september,19,2016,NB,1,e,74.5,4,NA,1,1,3,N,40,0.0625,640,.
"FRS, AK",september,19,2016,NB,1,f,88.5,4,NA,3,3,3,N,40,0.0625,640,.
"FRS, AK",september,19,2016,NB,1,g,104.5,3,NA,0.1,0,3,N,40,0.0625,640,.
"FRS, AK",september,19,2016,NB,1,h,81.5,4,NA,1,1,3,N,40,0.0625,640,.
"FRS, AK",september,19,2016,NB,1,i,73.5,3,NA,20,20,3,N,40,0.0625,640,.
"FRS, AK",september,19,2016,NB,1,j,69.5,3,NA,10,10,3,N,40,0.0625,640,.
"FRS, AK",september,19,2016,NB,2,a,96.5,5,NA,0.1,0,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,NB,2,b,78.5,4,NA,1,1,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,NB,2,c,68.5,3,NA,1,1,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,NB,2,d,97,5,NA,0,0,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,NB,2,e,74,4,NA,3,3,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,NB,2,f,104.5,4,NA,0.1,0,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,NB,2,g,85,4,NA,0.1,0,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,NB,2,h,71,4,NA,5,5,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,NB,2,i,62.5,3,NA,1,1,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,NB,2,j,36,4,NA,5,5,3,N,19,0.0625,304,.
"FRS, AK",september,19,2016,NB,3,a,100.5,4,NA,1,1,3,N,33,0.0625,528,.
"FRS, AK",september,19,2016,NB,3,b,96.5,4,NA,0.1,0,3,N,33,0.0625,528,.
"FRS, AK",september,19,2016,NB,3,c,97.5,4,NA,1,1,3,N,33,0.0625,528,.
"FRS, AK",september,19,2016,NB,3,d,78.5,5,NA,0.1,0,3,N,33,0.0625,528,.
"FRS, AK",september,19,2016,NB,3,e,26,3,NA,5,5,3,N,33,0.0625,528,.
"FRS, AK",september,19,2016,NB,3,f,72.5,3,NA,5,5,3,N,33,0.0625,528,.
"FRS, AK",september,19,2016,NB,3,g,88.5,4,NA,1,1,3,N,33,0.0625,528,.
"FRS, AK",september,19,2016,NB,3,h,80.5,5,NA,0,0,3,Y,33,0.0625,528,.
"FRS, AK",september,19,2016,NB,3,i,95.5,5,NA,1,1,3,N,33,0.0625,528,.
"FRS, AK",september,19,2016,NB,3,j,95.5,3,NA,1,1,3,N,33,0.0625,528,.
"FRS, AK",september,19,2016,NB,4,a,25.5,3,NA,5,5,3,Y,35,0.0625,560,.
